,Assembly accession,Bin_Id,Marker lineage,Completeness,Contamination,Strain_heterogeneity,Quality_score,classification,Domain,Phyla,Class,Order,Family,Genus,Species,n_scaffolds,n_contigs,scaf_bp,contig_bp,gap_pct,scaf_N50,scaf_L50,ctg_N50,ctg_L50,scaf_N90,scaf_L90,ctg_N90,ctg_L90,scaf_max,ctg_max,scaf_n_gt50K,scaf_pct_gt50K,gc_avg,gc_std,Classification_quality,orfs,pfam,ko,cog,cazymes,Orfs_anno_ko%,Orfs_anno_cog%,Orfs_anno_cazymes%,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
1260,GCA_003336205.1,GCA_003336205.1_ASM333620v1_genomic,o__Flavobacteriales (UID2815),100.0,0.74,0.0,96.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Planobacterium;s__Planobacterium sp002441475,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Planobacterium,Planobacterium sp002441475,32,32,2375938,2375938,0.0,4,349994,4,349994,7,218770,7,218770,429684,429684,8,97.75,0.39656,0.09925,Medium,2176,3871,908,1430,28,41.727941176470594,65.71691176470588,1.2867647058823528,ASM333620v1,,,,,,Contig,ABySS v. 2.0.2,,PRJNA478276,SAMN09508505,,Microbe sample from Chryseobacterium sp. YLOS41,,,,,2017-07,"Chryseobacterium lacus sp. nov., isolated from lake water",2018-07-23T00:00:00Z,2863669698@qq.com,,32.0,,,,,,,,,,,,,,,,,,,,,,,Chang-Ming,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/336/205/GCA_003336205.1_ASM333620v1,,GCF_003336205.1,QPIE01000000,,Chryseobacterium sp. YLOS41,,Full,WGS,,China: Yunnan,Yunnan,China,,,,,,,,,,,,,,,,,,,,,strain=YLOS41,,,,,China,,lake water,Li,,,,,,,,,,,Shandong University at Weihai,2058346.0,,Chryseobacterium lacus,Chryseobacterium lacus,,,,identical,,,,,,2018-06-27T00:00:00.000,,,representative genome,2184.0,,assembly from type material,Major,,,SAMN09508505,Strain YLOS41,cell culture,2018/07/23,Shandong University at Weihai,503.0x,,Illumina HiSeq,Illumina,,,2058346.0,,,YLOS41,,,"Microbe, viral or environmental",Microbe.1.0,Shandong University at Weihai,,,2058346.0,,,,,,type strain of Chryseobacterium lacus Zhang et al. 2020,,,latest,QPIE00000000.1,,,False,Non_marine
1261,GCA_003337215.1,GCA_003337215.1_ASM333721v1_genomic,s__algicola (UID2846),98.18,0.28,0.0,96.78,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Oceanihabitans;s__Oceanihabitans sediminis,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Oceanihabitans,Oceanihabitans sediminis,20,20,2908142,2908142,0.0,2,570785,2,570785,5,244467,5,244467,1280206,1280206,6,98.162,0.33126,0.05084,Medium,2619,4694,1119,1737,57,42.726231386025205,66.32302405498281,2.176403207331042,ASM333721v1,,,,,,Contig,SOAPdenovo v. 2.04,,PRJNA481473,SAMN09669792,,Microbe sample from Oceanihabitans sediminis,,,,,2012-11,Genome data of Oceanihabitans sediminis strain S9-10,2018-07-23T00:00:00Z,2863669698@qq.com,,20.0,,,,,,,,,,,,,,,,,,,,,,,Chang-Ming,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/337/215/GCA_003337215.1_ASM333721v1,,GCF_003337215.1,QPIG01000000,,Oceanihabitans sediminis strain S9-10,,Full,WGS,,China: Northern Yellow Sea,Northern Yellow Sea,China,,,,,,,,,,,,,,,,,,,,,strain=S9-10,,,,,China,,marine sediment,Li,,,,,,,,,,,Shandong University at Weihai,1812012.0,,Oceanihabitans sediminis,Oceanihabitans sediminis,,,,identical,,,,,,2018-07-17T00:00:00.000,,,representative genome,2623.0,,assembly from type material,Major,,,SAMN09669792,strain S9-10,cell culture,2018/07/23,Shandong University at Weihai,240.0x,,Illumina HiSeq,Illumina,,,1812012.0,,,S9-10,,,"Microbe, viral or environmental",Microbe.1.0,Shandong University at Weihai,,,1812012.0,,,,,,type strain of Oceanihabitans sediminis,,,latest,QPIG00000000.1,,,False,Marine
1262,GCA_003337305.1,GCA_003337305.1_ASM333730v1_genomic,s__algicola (UID2846),99.67,0.11,0.0,99.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella arenosi,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella arenosi,27,30,3675157,3674861,0.008,2,985656,3,567109,5,346953,6,346953,1132290,984674,6,97.288,0.35683000000000004,0.03933,Medium,3180,5545,1331,2069,92,41.855345911949684,65.062893081761,2.8930817610062896,ASM333730v1,,,,,,Scaffold,SPAdes v. 3.10.1,,PRJNA463313,SAMN09074796,,Winogradskyella arenosi CECT 7958,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-07-24T00:00:00Z,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/337/305/GCA_003337305.1_ASM333730v1,,GCF_003337305.1,QPJO01000000,,Winogradskyella arenosi strain CECT 7958,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=CECT 7958,,,,,,,,,,,,,,,,,,,DOE Joint Genome Institute,533325.0,,Winogradskyella arenosi,Winogradskyella arenosi,,,,identical,,,,,,2018-05-04T00:00:00.000,,,representative genome,3194.0,,,Major,,,SAMN09074796,,,2018/07/24,DOE Joint Genome Institute,335.0x,,Illumina HiSeq,Illumina,,,533325.0,,,CECT 7958,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,533325.0,,,,,,,Yes,,latest,QPJO00000000.1,,,False,Unclassified
1263,GCA_003344925.1,GCA_003344925.1_ASM334492v1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.53,0.0,97.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium arcticum,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium arcticum,1,1,2970356,2970356,0.0,1,2970356,1,2970356,1,2970356,1,2970356,2970356,2970356,1,100.0,0.34993,0.0,Medium,2647,4577,1039,1668,69,39.25198337740839,63.01473366074802,2.606724593879864,ASM334492v1,,,,,,Complete Genome,ABySS v. 2.0.2; canu v. 1.7.1; GapCloser,,PRJNA482171,SAMN09699165,,MIGS Cultured Bacterial/Archaeal sample from Flavobacterium arcticum,free living,,,,2014,Keywords: GSC:MIxS;MIGS:5.0,2018-07-30T00:00:00Z,li1992573@163.com,,1.0,,,0 m.,,,,,,,,Bay [ENVO:00000032]; cold temperature habitat,,[ENVO:00002026],,Water [ENVO:00002006],,,,,,,,Yi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/344/925/GCA_003344925.1_ASM334492v1,,GCF_003344925.1,CP031188,,Flavobacterium arcticum strain SM1502,,Full,Complete,,Svalbard: Arctic,Arctic,Svalbard,,,,,,,,,,,,,,,,,,,,,strain=SM1502,bacteria_archaea,PMID: 27902275,,,Svalbard,,seawater,Li,,,,,,,,,,,Shandong University,1784713.0,,Flavobacterium arcticum,Flavobacterium arcticum,,,,identical,,,Genome sequence of Flavobacterium arcticum SM1502,,,2018-07-21T00:00:00.000,PMID: 27902275,,representative genome,2640.0,aerobe,assembly from type material,Major,,,SAMN09699165,SM1502T,single cell,2018/07/30,Shandong University,598.0x,,Illumina HiSeq; PacBio RS,Illumina; PacBio,,SM1502; KCTC 42668; CCTCC AB 2015346,1784713.0,,,SM1502,,,MIGS.ba,MIGS.ba.microbial.5.0,Shandong University,,,1784713.0,,,,,chemoorganotroph,type strain of Flavobacterium arcticum,,,latest,,,,False,Marine
1264,GCA_003347605.1,GCA_003347605.1_ASM334760v1_genomic,o__Flavobacteriales (UID2815),100.0,0.74,0.0,96.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp003347605,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp003347605,37,41,4862476,4861925,0.011,8,240237,9,175557,22,83761,24,82407,382459,382459,25,94.992,0.36607,0.02306,Medium,4339,6975,1572,2682,98,36.22954597833603,61.81147729891682,2.258584927402627,ASM334760v1,,,,,,Scaffold,SOAPdenovo v. 2.04,,PRJNA451537,SAMN08972774,,Microbe sample from Chryseobacterium sp. KLBC 52,,,,,23-Jun-2016,A new species isolated from root noudle,2018-07-31T00:00:00Z,35445230@qq.com,,37.0,,,,,,,,,,,,,,,,,,,,,,,FANG,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/347/605/GCA_003347605.1_ASM334760v1,,GCF_003347605.1,QDFZ01000000,,Chryseobacterium sp. KLBC 52,,Full,WGS,,China:Yunnan,Yunnan,China,,,Crotalaria pallida,,,,,,Crotalaria pallida,,,,,,,,,,,,strain=KLBC 52,,,,,China,,root nodule,WANG,,,,,,,,,,,Southwest Forestry University,1862702.0,,Chryseobacterium sp. KLBC 52,Chryseobacterium sp. KLBC 52,,,,identical,,,,,,2018-04-23T00:00:00.000,,,,,,,Major,,,SAMN08972774,Chryseobacterium sp. KLBC 52,cell culture,2018/07/31,Southwest Forestry University,469.0x,,Illumina,Illumina,,,1862702.0,,,KLBC 52,,,"Microbe, viral or environmental",Microbe.1.0,Southwest Forestry University,,,1862702.0,,,,,,,,,latest,QDFZ00000000.1,,,False,Non_marine
1265,GCA_003350375.1,GCA_003350375.1_ASM335037v1_genomic,f__Flavobacteriaceae (UID2817),99.47,0.0,0.0,99.47,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp003350375,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp003350375,30,33,3829887,3828897,0.026,7,195210,7,190746,17,79847,18,78285,432007,430873,21,98.042,0.38419,0.04347,Medium,3441,5608,1266,2072,92,36.79163034001744,60.21505376344086,2.6736413833188024,ASM335037v1,,,,,,Scaffold,SPAdes v. 3.10.1,,PRJNA456356,SAMN09083415,,Flavobacterium sp. AG291,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-07-31T00:00:00Z,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/350/375/GCA_003350375.1_ASM335037v1,,GCF_003350375.1,QQAR01000000,,Flavobacterium sp. AG291,,Full,WGS,,Italy,,Italy,,,,,,,,,,,,,,,,,,,,,strain=AG291,,,,,Italy,,,,,,,,,,,,,,DOE Joint Genome Institute,2184000.0,,Flavobacterium sp. AG291,Flavobacterium sp. AG291,,,,identical,,,,,,2018-05-07T00:00:00.000,,,,3456.0,,,Major,,,SAMN09083415,,,2018/07/31,DOE Joint Genome Institute,366.0x,,Illumina HiSeq,Illumina,,,2184000.0,,,AG291,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,2184000.0,,,,,,,,,latest,QQAR00000000.1,,,False,Unclassified
1266,GCA_003350545.1,GCA_003350545.1_ASM335054v1_genomic,f__Flavobacteriaceae (UID2817),99.65,0.0,0.0,99.65,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium glaciei,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium glaciei,42,45,3143612,3143327,0.009000000000000001,6,176045,7,176045,17,50164,19,49520,410347,342838,17,90.551,0.33407,0.03644,Medium,2742,4930,1183,1840,79,43.14369073668855,67.10430342815464,2.8811086797957697,ASM335054v1,,,,,,Scaffold,SPAdes v. 3.10.1,,PRJNA463393,SAMN09074696,,Flavobacterium glaciei DSM 19728,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-07-31T00:00:00Z,,,42.0,,DSM:19728,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/350/545/GCA_003350545.1_ASM335054v1,,GCF_003350545.1,QQBA01000000,,Flavobacterium glaciei strain DSM 19728,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=DSM 19728,,,,,,,,,,,,,,,,,,,DOE Joint Genome Institute,386300.0,,Flavobacterium glaciei,Flavobacterium glaciei,,,,identical,,,,,,2018-05-04T00:00:00.000,,,representative genome,2741.0,,assembly from type material,Major,,,SAMN09074696,,,2018/07/31,DOE Joint Genome Institute,449.0x,,Illumina HiSeq,Illumina,,,386300.0,,,DSM 19728,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,386300.0,,,,,,type strain of Flavobacterium glaciei,,,latest,QQBA00000000.1,,,False,Unclassified
1267,GCA_003352465.1,GCA_003352465.1_ASM335246v1_genomic,s__algicola (UID2846),99.59,1.27,0.0,93.24,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kordia;s__Kordia sp003352465,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Kordia,Kordia sp003352465,1,1,5482391,5482391,0.0,1,5482391,1,5482391,1,5482391,1,5482391,5482391,5482391,1,100.0,0.35600000000000004,0.0,Medium,4654,6926,1434,2410,87,30.81220455522132,51.78341211860764,1.869359690588741,ASM335246v1,,,,,,Complete Genome,HGAP v. 2,,PRJNA380207,SAMN09531906,,"Kordia sp. strain SMS9, associated with a culture of Skeletonema marinoi strain ST54",,,,,2009,"Kordia sp. strain SMS9, associated with a culture of Skeletonema marinoi strain ST54",2018-08-01T00:00:00Z,matt_pinder13@hotmail.com,,1.0,,,102m,,,,,,,,marine sediment,,,,,,,,,,,,Matt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/352/465/GCA_003352465.1_ASM335246v1,,GCF_003352465.1,CP031153,,Kordia sp. SMS9,,Full,Complete,,Sweden: Kosterfjord,Kosterfjord,Sweden,,,Skeletonema marinoi strain st54,,,,,,Skeletonema marinoi strain ST54,,,,,,,,,,,Mats Topel,strain=SMS9,,,,,Sweden,,Top-layer sediments,Pinder,,,,,,,,,,,University of Gothenburg,2282170.0,,Kordia sp. SMS9,Kordia sp. SMS9,,env_biome:marine sediment,,identical,,,,,,2018-07-02T00:00:00.000,,,,4641.0,,,Major,,,SAMN09531906,Kordia sp. strain SMS9,Metagenomic assembly,2018/08/01,University of Gothenburg,67.46x,,PacBio,PacBio,,,2282170.0,,,SMS9,,,"Microbe, viral or environmental",Microbe.1.0,University of Gothenburg,,,2282170.0,,,,,,,,,latest,,,,True,Marine
1268,GCA_003353425.1,GCA_003353425.1_ASM335342v1_genomic,s__algicola (UID2847),98.86,0.0,0.0,98.86,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Marinirhabdus;s__Marinirhabdus gelatinilytica,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Marinirhabdus,Marinirhabdus gelatinilytica,24,36,3293993,3292159,0.056,2,653197,3,271410,6,93705,11,83959,1304074,1199885,8,96.676,0.41267,0.0856,Medium,3024,5093,1138,1852,56,37.63227513227513,61.24338624338625,1.851851851851852,ASM335342v1,,,,,,Scaffold,SPAdes v. 3.10.1,,PRJNA442666,SAMN08776299,,Marinirhabdus gelatinilytica DSM 101478,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-08-02T00:00:00Z,,,24.0,,DSM:101478,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/353/425/GCA_003353425.1_ASM335342v1,,GCF_003353425.1,QRAO01000000,,Marinirhabdus gelatinilytica strain DSM 101478,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=DSM 101478,,,,,,,,,,,,,,,,,,,DOE Joint Genome Institute,1703343.0,,Marinirhabdus gelatinilytica,Marinirhabdus gelatinilytica,,,,identical,,,,,,2018-03-22T00:00:00.000,,,representative genome,3026.0,,assembly from type material,Major,,,SAMN08776299,,,2018/08/02,DOE Joint Genome Institute,340.0x,,Illumina HiSeq,Illumina,,,1703343.0,,,DSM 101478,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,1703343.0,,,,,,type strain of Marinirhabdus gelatinilytica,,,latest,QRAO00000000.1,,,False,Unclassified
1269,GCA_003362725.1,GCA_003362725.1_ASM336272v1_genomic,s__algicola (UID2846),99.01,0.33,0.0,97.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella aurantiaca,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella aurantiaca,25,25,3102160,3102160,0.0,3,350571,3,350571,8,184706,8,184706,916346,916346,9,99.137,0.37745,0.0281,Medium,2780,4935,1162,1851,75,41.79856115107914,66.58273381294964,2.6978417266187047,ASM336272v1,,,,,,Contig,SPAdes v. 3.11.1,,PRJNA475444,SAMN09389153,,Microbe sample from Winogradskyella aurantiaca,,,,,2012-06-03,Genome of Winogradskyella aurantiacus IMCC20180,2018-08-06T00:00:00Z,jaehosong81@gmail.com,,25.0,,,,,,,,,,,,,,,,,,,,,,,Jaeho,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/362/725/GCA_003362725.1_ASM336272v1,,GCF_003362725.1,QKTV01000000,,Winogradskyella aurantiaca strain IMCC20180,,Full,WGS,,South Korea: Yeongdeok,Yeongdeok,South Korea,,,,,,,,,,,,,,,,,,,,,strain=IMCC20180,,,,,South Korea,,seawater,Song,,,,,,,,,,,Inha University,2219558.0,,Winogradskyella aurantiaca,Winogradskyella aurantiaca,,,,identical,,,,,,2018-06-11T00:00:00.000,,,representative genome,,,assembly from type material,Major,,,SAMN09389153,IMCC20180,cell culture,2018/08/06,Inha University,252.0x,,Illumina MiSeq,Illumina,,,2219558.0,,,IMCC20180,,,"Microbe, viral or environmental",Microbe.1.0,Inha University,,,2219558.0,,,,,,type strain of Winogradskyella aurantiaca,,,latest,QKTV00000000.1,,,False,Marine
1270,GCA_003382275.1,GCA_003382275.1_ASM338227v1_genomic,s__algicola (UID2846),99.67,0.76,0.0,95.87,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Muricauda;s__Muricauda sp003382275,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda sp003382275,22,22,4038636,4038636,0.0,2,1189000,2,1189000,5,194503,5,194503,1622465,1622465,8,97.893,0.40707,0.08188,Medium,3738,6220,1391,2377,94,37.212413055109685,63.59015516318887,2.5147137506688066,ASM338227v1,,,,,,Contig,SOAPdenovo v. 2.04,,PRJNA484606,SAMN09767239,,Microbe sample from Muricauda sp. SM1704,,,,,2016-07-07,Polyphasic studies of a new bacterium,2018-08-12T00:00:00Z,naturedang@163.com,,22.0,,,,,,,,,,,,,,,,,,,,,,,Yanru,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/382/275/GCA_003382275.1_ASM338227v1,,GCF_003382275.1,QTJX01000000,,Muricauda sp. SM1704,,Full,WGS,,China: South Sea,South Sea,China,,,,,,,,,,,,,,,,,,,,,strain=SM1704,,,,,China,,surface seawater,Dang,,,,,,,,,,,Institute of microbiology technology,2292706.0,,Muricauda sp. SM1704,Muricauda sp. SM1704,,,,identical,,,,,,2018-08-05T00:00:00.000,,,,3704.0,,,Major,,,SAMN09767239,SM1704,prokaryote,2018/08/12,Institute of microbiology technology,451.0x,,Illumina,Illumina,,,2292706.0,,,SM1704,,,"Microbe, viral or environmental",Microbe.1.0,Institute of microbiology technology,,,2292706.0,,,,,,,,,latest,QTJX00000000.1,,,False,Marine
1271,GCA_003384725.1,GCA_003384725.1_ASM338472v1_genomic,o__Flavobacteriales (UID2815),100.0,0.25,0.0,98.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp003384725,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp003384725,61,61,4796535,4796535,0.0,8,208445,8,208445,23,70738,23,70738,528437,528437,26,94.0,0.38552,0.0338,Medium,4260,6634,1512,2588,87,35.49295774647888,60.751173708920184,2.0422535211267605,ASM338472v1,,,,,,Contig,SPAdes v. 3.10.0,,PRJNA478527,SAMN09519172,,MIGS Cultured Bacterial/Archaeal sample from Chryseobacterium sp. 7_F195,,,,,2011,Keywords: GSC:MIxS;MIGS:5.0,2018-08-14T00:00:00Z,hugocj@ufs.ac.za,,61.0,,,,,,,,,,,poultry litter,,poultry processing plant,,chicken feathers,,,,,,,,Celia,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/384/725/GCA_003384725.1_ASM338472v1,,GCF_003384725.1,QNVV01000000,,Chryseobacterium sp. 7_F195,,Full,WGS,,"South Africa: Bloemfontein, Free State","Bloemfontein, Free State",South Africa,,,Gallus gallus,,,,,,"Chicken, Gallus gallus",,,,,,,,,,,,strain=7_F195,,"NB no 2, 25 degrees",,,South Africa,,feather waste from poultry processing plant,Hugo,-29.108405,,26.183772,,,,,,,,University of the Free State,2258963.0,,Chryseobacterium sp. 7_F195,Chryseobacterium sp. 7_F195,,env_biome:poultry litter,,identical,,,,,,2018-06-29T00:00:00.000,Primary publication,,,4197.0,,,Major,,,SAMN09519172,Chryseobacterium sp. 7_F195,,2018/08/14,University of the Free State,33.0x,,Illumina MiSeq,Illumina,,,2258963.0,,,7_F195,,,MIGS.ba,MIGS.ba.5.0,University of the Free State,,,2258963.0,,,,,,,,,latest,QNVV00000000.1,,Non_marine,False,Non_marine
1272,GCA_003384775.1,GCA_003384775.1_ASM338477v1_genomic,o__Flavobacteriales (UID2815),100.0,0.0,0.0,100.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp001456155,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp001456155,3,3,3855222,3855222,0.0,1,2880605,1,2880605,2,969015,2,969015,2880605,2880605,2,99.855,0.35543,0.05245,Medium,3488,5585,1275,2110,124,36.55389908256881,60.49311926605506,3.555045871559633,ASM338477v1,,,,,,Contig,SPAdes v. 3.11.0,,PRJNA463446,SAMN09081300,,Chryseobacterium sp. 1335,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-08-14T00:00:00Z,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/384/775/GCA_003384775.1_ASM338477v1,,GCF_003384775.1,QTTJ01000000,,Chryseobacterium sp. 1335,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=1335,,,,,,,,,,,,,,,,,,,DOE Joint Genome Institute,2183928.0,,Chryseobacterium sp. 1335,Chryseobacterium sp. 1335,,,,identical,,,,,,2018-05-07T00:00:00.000,,,,3470.0,,,Major,,,SAMN09081300,,,2018/08/14,DOE Joint Genome Institute,362.0x,,Illumina HiSeq,Illumina,,,2183928.0,,,1335,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,2183928.0,,,,,,,,,latest,QTTJ00000000.1,,,False,Unclassified
1273,GCA_003384935.1,GCA_003384935.1_ASM338493v1_genomic,f__Flavobacteriaceae (UID2845),98.32,0.76,0.0,94.52,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutibacter;s__Lutibacter oceani,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,Lutibacter oceani,17,18,3388514,3387580,0.028,2,868621,2,868621,4,365767,5,324890,1238411,1238411,5,98.771,0.29562,0.04471,Medium,2962,5556,1362,2084,131,45.98244429439568,70.35786630654964,4.422687373396354,ASM338493v1,,,,,,Scaffold,SPAdes v. 3.6.2,,PRJNA364304,SAMN06265796,MIGS.ba,Lutibacter sp. 325-5,,,,,,Keywords: GSC:MIxS;MIGS:5.0,2018-08-14T00:00:00Z,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/384/935/GCA_003384935.1_ASM338493v1,,GCF_003384935.1,QTTQ01000000,,Lutibacter oceani strain 325-5,,Full,WGS,,,,,,,,,,,,,,,,,,,,,,,,,strain=325-5,,,,,,,,,,,,,,,,,,,DOE Joint Genome Institute,1853311.0,,Lutibacter oceani,Lutibacter oceani,,,,identical,,,,,,2017-01-25T00:00:00.000,,,representative genome,2956.0,,assembly from type material,Major,,,SAMN06265796,,,2018/08/14,DOE Joint Genome Institute,439.0x,,Illumina HiSeq,Illumina,,,1853311.0,,,325-5,,,MIGS.ba,MIGS.ba.5.0,DOE Joint Genome Institute,,,1853311.0,,,,,,type strain of Lutibacter oceani,Yes,,latest,QTTQ00000000.1,,,False,Unclassified
