Assembly accession,ASM name,Alias,Altitude,Anonymized name,Arrayexpress species,Arrayexpress strain or line,Assembly level,Assembly method,Biomaterial provider,Bioproject accession,Biosample accession,Biosample model,Biosample title,Biotic relationship,Body sample site,Cell shape,Collected by,Collection date,Comment paragraph,Completion date,Contact email,Contact lab,Contigs,Country,Culture collection,Depth,Derived from,Description,Disease,ENA checklist,ENA-first-public,ENA-last-update,Elevation,Env biome,Env broad scale,Env feature,Env local scale,Env material,Env medium,Environment,Environmental sample,Estimated size,Excluded from refseq,FDA cvm ID,Finishing strategy (depth of coverage),First name,Ftp path,GOLD stamp ID,Gbrs paired ASM,Genbank accessions,Gene calling method,Genome name,Genome quality flags,Genome rep,Genome status,Genotype,Geographic location,Geographic location (city),Geographic location (country or region),Gram stain,Habitat,Host,Host age,Host disease,Host disease outcome,Host gender,Host health,Host name,Host scientific name,Host sex,Host taxid,Host tissue sampled,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Identification method,Identified by,Infraspecific name,Investigation type,Isol growth condt,Isolate,Isolation comments,Isolation country,Isolation site,Isolation source,Last name,Latitude,Locus tag prefix,Longitude,MLST,Mapping method and version,Material,Metagenome source,Misc param,Misc param: hmp supersite,Motility,Name,Ncbi taxon ID,Note,Organism,Organism name,Other clinical,Other environmental,Oxygen requirement,Paired ASM comp,Phenotypes,Plasmids,Project name,Project type,Publication,Publication date,Ref biomaterial,Refseq accessions,Refseq category,Refseq cds,Rel to oxygen,Relation to type material,Release type,SRA accession,Salinity,Sample accession,Sample name,Sample type,Seq rel date,Sequencing centers,Sequencing depth,Sequencing method,Sequencing platform,Sequencing platform resumed,Sequencing status,Source mat ID,Species taxid,Specific host,Sporulation,Strain,Strain name alias,Subject ID,Submission model,Submission package,Submitter,Subsrc note,Supplier name,Taxid,Temperature,Temperature optimum,Temperature range,Title,Trophic level,Type material,Type strain,Value,Version status,WGS master,pH,Terrestrial_coordinates,MAG,Origin
GCA_003860585.1,ASM386058v1,,,,,,Complete Genome,HGAP v. 3,,PRJNA498690,SAMN10343178,,Kaistella carnis type strain G0081,,,,,1973,Species belonging to the genus Kaistella - Genome sequencing and assembly,2018-12-04T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/585/GCA_003860585.1_ASM386058v1,,GCF_003860585.1,CP034159,,Chryseobacterium carnis strain G0081,,Full,Complete,,United Kingdom,,United Kingdom,,,,,,,,,,,,,,,,,,,,,strain=G0081,,,,,United Kingdom,,beef,,,,,,,,,,,,Bacterial Special Pathogens Branch (CDC),1241979.0,,Chryseobacterium carnis,Chryseobacterium carnis,,,,identical,,,,,,2018-10-29T00:00:00.000,,,representative genome,2935.0,,,Major,,,SAMN10343178,G0081,Beef,2018/12/04,Bacterial Special Pathogens Branch (CDC),263.4x,,PacBio,PacBio,,,1241979.0,,,G0081,,,"Microbe, viral or environmental",Microbe.1.0,Bacterial Special Pathogens Branch (CDC),,,1241979.0,,,,,,,,,latest,,,,False,Unclassified
GCA_003860605.1,ASM386060v1,,,,,,Complete Genome,HGAP v. 3,,PRJNA498692,SAMN10343195,,Epilithonimonas vandammei strain H6466,,,,,Jul-2013,Species belonging to the genus Epilithonimonas- Genome sequencing and assembly,2018-12-04T00:00:00Z,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/605/GCA_003860605.1_ASM386060v1,,GCF_003860605.1,CP034160,,Chryseobacterium sp. H6466,,Full,Complete,,USA:Indiana:Indianapolis,Indiana,USA,,,Homo sapiens,,,,,,"Human, Homo sapiens",,,,,,,,,,,,strain=H6466,,,,,United States,,,,,,,,,,,,,,Bacterial Special Pathogens Branch (CDC),2487072.0,,Chryseobacterium sp. H6466,Chryseobacterium sp. H6466,,,,identical,,,,,,2018-10-29T00:00:00.000,,,,3134.0,,,Major,,,SAMN10343195,H6466,Wound-Leg,2018/12/04,Bacterial Special Pathogens Branch (CDC),85.43x,,PacBio & Illumina,Illumina; PacBio,,,2487072.0,,,H6466,,,"Microbe, viral or environmental",Microbe.1.0,Bacterial Special Pathogens Branch (CDC),,,2487072.0,,,,,,,,,latest,,,,False,Non_marine
GCA_003865345.1,ASM386534v1,,,,,,Contig,SPAdes v. 3.8.0,,PRJNA505083,SAMN10410588,,Microbe sample from Nonlabens xiamenensis,,,,,Jun-2018,Description of a novel species,2018-12-05T00:00:00Z,zbhuangemail@gmail.com,,13.0,,,,,,,,,,,,,,,,,,,,,,,Zhaobin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/865/345/GCA_003865345.1_ASM386534v1,,GCF_003865345.1,RMVE01000000,,Nonlabens sp. 1Q3,,Full,WGS,,China: Xiamen,Xiamen,China,,,,,,,,,,,,,,,,,,,,,strain=1Q3,,,,,China,,coastal seawater,Huang,,,,,,,,,,,"Third Institute of Oceanography, SOA",2341043.0,,Nonlabens xiamenensis,Nonlabens xiamenensis,,,,identical,,,,,,2018-11-11T00:00:00.000,,,representative genome,,,assembly from type material,Major,,,SAMN10410588,strain 1Q3,cell culture,2018/12/05,"Third Institute of Oceanography, SOA",500.0x,,Illumina HiSeq,Illumina,,,2341043.0,,,1Q3,,,"Microbe, viral or environmental",Microbe.1.0,"Third Institute of Oceanography, SOA",,,2341043.0,,,,,,type material of Nonlabens xiamenensis,,,latest,RMVE00000000.1,,,False,Marine
GCA_003865365.1,ASM386536v1,,,,,,Scaffold,SOAPdenovo v. 2.04,,PRJNA505774,SAMN10434608,,Microbe sample from Flavobacterium macacae,,,,,2016-11-11,A novel bacterial strain was classified by comparative genomics,2018-12-05T00:00:00Z,guidingli@163.com,,56.0,,,,,,,,,,,,,,,,,,,,,,,Guiding,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/865/365/GCA_003865365.1_ASM386536v1,,GCF_003865365.1,RQVR01000000,,Flavobacterium sp. YIM 102600,,Full,WGS,,China,,China,,,Macaca mulatta,,,,,,"Rhesus monkey, Macaca mulatta",,,,,,,,,,,,strain=YIM 102600,,,,,China,,feces,Li,,,,,,,,,,,Yunnan Institute of Microbiology,2488993.0,,Flavobacterium macacae,Flavobacterium macacae,,,,identical,,,,,,2018-11-16T00:00:00.000,,,representative genome,3056.0,,assembly from type material,Major,,,SAMN10434608,"Flavobacterium sp. nov., YIM 102600 draft genome",whole organism,2018/12/05,Yunnan Institute of Microbiology,25.0x,,Illumina HiSeq,Illumina,,,2488993.0,,,YIM 102600,,,"Microbe, viral or environmental",Microbe.1.0,Yunnan Institute of Microbiology,,,2488993.0,,,,,,type strain of Flavobacterium macacae,,,latest,RQVR00000000.1,,,False,Non_marine
GCA_003865405.1,ASM386540v1,,,,,,Scaffold,SOAPdenovo v. 2.04,,PRJNA505587,SAMN10426406,,Microbe sample from Flavobacterium tangerina,,,,,2016-11-11,A novel bacterial strain was classified by comparative genomics,2018-12-05T00:00:00Z,guidingli@163.com,,114.0,,,,,,,,,,,,,,,,,,,,,,,Guiding,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/865/405/GCA_003865405.1_ASM386540v1,,GCF_003865405.1,RQVQ01000000,,Flavobacterium sp. YIM 102701-2,,Full,WGS,,China,,China,,,Hoolock hoolock,,,,,,Hoolock hoolock,,,,,,,,,,,,strain=YIM 102701-2,,,,,China,,feces,Li,,,,,,,,,,,Yunnan Institute of Microbiology,2488728.0,,Flavobacterium tangerina,Flavobacterium tangerina,,,,identical,,,,,,2018-11-16T00:00:00.000,,,representative genome,3211.0,,assembly from type material,Major,,,SAMN10426406,YIM 102701-2 draft genome,whole organism,2018/12/05,Yunnan Institute of Microbiology,23.0x,,Illumina HiSeq,Illumina,,,2488728.0,,,YIM 102701-2,,,"Microbe, viral or environmental",Microbe.1.0,Yunnan Institute of Microbiology,,,2488728.0,,,,,,type material of Flavobacterium tangerina,,,latest,RQVQ00000000.1,,,False,Non_marine
GCA_003867015.1,ASM386701v1,,,,,,Chromosome,HGAP v. 4,,PRJNA492832,SAMN10107882,,MIGS Cultured Bacterial/Archaeal sample from Tenacibaculum sp. DSM 106434,,,,,15-Jan-2016,Keywords: GSC:MIxS;MIGS:5.0,2018-12-06T00:00:00Z,sou@tll.org.sg,,1.0,,DSM:106434,,,,,,,,,fish farm,,laboratory,,skin,,,,,,,,Sou,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/867/015/GCA_003867015.1_ASM386701v1,,GCF_003867015.1,CP032548,,Tenacibaculum sp. DSM 106434,,Full,Complete,,Singapore,,Singapore,,,Lates calcarifer,,,,,,"Barramundi perch, Lates calcarifer",,,,,,,,,,,,strain=DSM 106434,,DSM 106434,,isolated from tenacibaculosis-infected lesion of Asian seabass,Singapore,,tenacibaculosis-infected lesion of Asian seabass,Miyake,1.42119,,103.95567,,,,,,,,Temasek Life Sciences Laboratory,2358479.0,,Tenacibaculum sp. DSM 106434,Tenacibaculum sp. DSM 106434,,,,identical,,,,,,2018-12-08T00:37:43.113,,,,3124.0,,,Major,,,SAMN10107882,Tenacibaculum singaporense,,2018/12/06,Temasek Life Sciences Laboratory,115.0x,,PacBio RSII,PacBio,,,2358479.0,,,DSM 106434,,,MIGS.ba,MIGS.ba.host-associated.5.0,Temasek Life Sciences Laboratory,,,2358479.0,,,,,,,,,latest,,,Non_marine,False,Non_marine
GCA_003867075.1,ASM386707v1,,,,,,Chromosome,HGAP v. 4,,PRJNA493172,SAMN10130967,,MIGS Cultured Bacterial/Archaeal sample from Tenacibaculum mesophilum,,,,,15-Jan-2016,Keywords: GSC:MIxS;MIGS:5.0,2018-12-06T00:00:00Z,sou.miyake@tll.org.sg,,1.0,,DSM:13764,,,,,,,,,culture,,laboratory,,sponge,,,,,,,,Sou,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/867/075/GCA_003867075.1_ASM386707v1,,GCF_003867075.1,CP032544,,Tenacibaculum mesophilum strain DSM 13764,,Full,Complete,,Japan,,Japan,,,Sponge,,,,,,sponge,,,,,,,,,,,,strain=DSM 13764,,DSM 13764,,isolated T. singaporense,Japan,,,Miyake,,,,MLST.Tenacibaculum_spp.78,,,,,,,Temasek Life Sciences Laboratory,104268.0,,Tenacibaculum mesophilum,Tenacibaculum mesophilum,,,,identical,,,,,,2018-12-08T00:37:43.143,,,representative genome,2985.0,,assembly from type material,Major,,,SAMN10130967,Tenacibaculum mesophilum strain DSM 13764,,2018/12/06,Temasek Life Sciences Laboratory,208.0x,,PacBio RSII,PacBio,,,104268.0,,,DSM 13764,,,MIGS.ba,MIGS.ba.host-associated.5.0,Temasek Life Sciences Laboratory,,,104268.0,,,,,,type strain of Tenacibaculum mesophilum,,,latest,,,,False,Unclassified
GCA_003931895.1,ASM393189v1,,,,,,Contig,ABySS v. NOV-2018,,PRJNA507347,SAMN10492124,,Microbe sample from Flavobacteriaceae bacterium 14752,,,,,2017,phylogenetic analysis,2018-12-09T00:00:00Z,3160104948@zju.edu.cn,,106.0,,,,,,,,,,,,,,,,,,,,,,,Yanghuan,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/931/895/GCA_003931895.1_ASM393189v1,,GCF_003931895.1,RRZV01000000,,Flavobacteriaceae bacterium 14752,,Full,WGS,,China:Xin Jiang,Xin Jiang,China,,,,,,,,,,,,,,,,,,,,,strain=14752,,,,,China,,lake water,Yu,,,,,,,,,,,ZheJiang University,2491711.0,,Flavobacteriaceae bacterium 14752,Flavobacteriaceae bacterium 14752,,,,identical,,,,,,2018-11-28T00:00:00.000,,,,2584.0,,,Major,,,SAMN10492124,14752,lake water,2018/12/09,ZheJiang University,516.0x,,Illumina HiSeq,Illumina,,,2491711.0,,,14752,,,"Microbe, viral or environmental",Microbe.1.0,ZheJiang University,,,2491711.0,,,,,,,,,latest,RRZV00000000.1,,,False,Non_marine
GCA_003932955.1,ASM393295v1,,,,,,Contig,SOAPdenovo v. 2,,PRJNA480579,SAMN09642010,,Microbe sample from Chryseobacterium sp. SC28,,,,,10-July-2017,Isolation of novel bacterium which can degrdade aromatic ring,2018-12-10T00:00:00Z,hmjin86@gmail.com,,48.0,,,,,,,,,,,,,,,,,,,,,,,Hyun Mi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/932/955/GCA_003932955.1_ASM393295v1,,GCF_003932955.1,QOVY01000000,,Chryseobacterium sp. SC28,,Full,WGS,,South Korea,,South Korea,,,,,,,,,,,,,,,,,,,,,strain=SC28,,,,,South Korea,,freshwater,Jin,,,,,,,,,,,Nakdonggang National Institute of Biological Resource,2268028.0,,Chryseobacterium sp. SC28,Chryseobacterium sp. SC28,,,,identical,,,,,,2018-12-12T00:37:44.570,,,,2513.0,,,Major,,,SAMN09642010,SC28,Whole organism,2018/12/10,Nakdonggang National Institute of Biological Resource,563.0x,,Illumina HiSeq,Illumina,,,2268028.0,,,SC28,,,"Microbe, viral or environmental",Microbe.1.0,Nakdonggang National Institute of Biological Resource,,,2268028.0,,,,,,,,,latest,QOVY00000000.1,,,False,Non_marine
GCA_003933245.1,ASM393324v1,,,,,,Contig,SOAPdenovo v. 2,,PRJNA485665,SAMN09812349,,Microbe sample from Maribacter sp. PoM-212,,,,,2017-04-25,Genome sequencing of Maribacter sp.,2018-12-26T00:00:00Z,shehzadkhan12786@gmail.com,,7.0,,,,,,,,,,,,,,,,,,,,,,,shehzad,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/933/245/GCA_003933245.1_ASM393324v1,,GCF_003933245.1,QUSX01000000,,Maribacter sp. PoM-212,,Full,WGS,,South Korea: Incheon,Incheon,South Korea,,,,,,,,,,,,,,,,,,,,,strain=PoM-212,,,,,South Korea,,sea water containing marine algae,khan,,,,,,,,,,,Chung Ang University,2498892.0,,Maribacter sp. PoM-212,Maribacter algicola,,,,identical,,,,,,2018-12-12T00:00:00.000,,,representative genome,3524.0,,assembly from type material,Major,,,SAMN09812349,(Algae) sea water,water,2018/12/10,Chung Ang University,11.0x,,Illumina,Illumina,,,2498892.0,,,PoM-212,,,"Microbe, viral or environmental",Microbe.1.0,Chung Ang University,,,2498892.0,,,,,,,,,latest,QUSX00000000.1,,,False,Marine
GCA_003935165.1,ASM393516v1,,,,,,Contig,SPAdes v. 3.11.0,,PRJNA497126,SAMN10249129,,Microbe sample from Empedobacter falsenii,,,,,2016-07,"Use selective bacterial culture to understand the identity, prevalence, persistence, and transmission of bacteria contaminating hospital intensive care unit surfaces in two countries.",2018-12-11T00:00:00Z,alaric.dsouza@wustl.edu,,102.0,,,,,,,,,,,,,,,,,,,,,,,Alaric,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/935/165/GCA_003935165.1_ASM393516v1,,GCF_003935165.1,RHPO01000000,,Empedobacter falsenii strain WF_348,,Full,WGS,,Pakistan,,Pakistan,,,,,,,,,,,,,,,,,,,,,strain=WF_348,,,,,Pakistan,,nursing call button in hospital intensive care unit,D'Souza,,,,,,,,,,,Washington University in St. Louis School of Medicine,343874.0,,Empedobacter falsenii,Empedobacter falsenii,,,,identical,,,,,,2018-12-08T00:50:13.940,,,,3046.0,,,Major,,,SAMN10249129,WF_348,whole organism,2018/12/11,Washington University in St. Louis School of Medicine,159x,,Illumina NextSeq,Illumina,,,343874.0,,,WF_348,,,"Microbe, viral or environmental",Microbe.1.0,Washington University in St. Louis School of Medicine,,,343874.0,,,,,,,,,latest,RHPO00000000.1,,,False,Non_marine
GCA_003935845.1,ASM393584v1,,,,,,Contig,SPAdes v. 3.11.0,,PRJNA497126,SAMN10249043,,Microbe sample from Empedobacter falsenii,,,,,2016-07,"Use selective bacterial culture to understand the identity, prevalence, persistence, and transmission of bacteria contaminating hospital intensive care unit surfaces in two countries.",2018-12-11T00:00:00Z,alaric.dsouza@wustl.edu,,100.0,,,,,,,,,,,,,,,,,,,,,,,Alaric,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/935/845/GCA_003935845.1_ASM393584v1,,GCF_003935845.1,RHPN01000000,,Empedobacter falsenii strain WF_350,,Full,WGS,,Pakistan,,Pakistan,,,,,,,,,,,,,,,,,,,,,strain=WF_350,,,,,Pakistan,,bedside rail in hospital intensive care unit,D'Souza,,,,,,,,,,,Washington University in St. Louis School of Medicine,343874.0,,Empedobacter falsenii,Empedobacter falsenii,,,,identical,,,,,,2018-12-08T00:50:12.690,,,,3041.0,,,Major,,,SAMN10249043,WF_350,whole organism,2018/12/11,Washington University in St. Louis School of Medicine,177x,,Illumina NextSeq,Illumina,,,343874.0,,,WF_350,,,"Microbe, viral or environmental",Microbe.1.0,Washington University in St. Louis School of Medicine,,,343874.0,,,,,,,,,latest,RHPN00000000.1,,,False,Non_marine
GCA_003937815.1,ASM393781v1,,,,,,Contig,SPAdes v. 3.11.1,,PRJNA508279,SAMN10518927,,Microbe sample from Tenacibaculum litoreum,,,,,,"This strain was associated with horseshoe crab and able to produce amylase, lipase and protease in preliminary test",2018-12-11T00:00:00Z,himzai_5614@hotmail.com,,23.0,,,,,,,,,,,,,,,,,,,,,,,Tzi Him,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/937/815/GCA_003937815.1_ASM393781v1,,GCF_003937815.1,RSFU01000000,,Tenacibaculum litoreum strain HSC 22,,Full,WGS,,Malaysia: Sabah,Sabah,Malaysia,,,Horseshoe crab,,,,,,horseshoe crab,,,,,,,,,,,,strain=HSC 22,,,,,Malaysia,,,Cheng,,,,,,,,,,,Universiti Malaysia Terengganu,321269.0,,Tenacibaculum litoreum,Tenacibaculum litoreum,,,,identical,,,,,,2018-12-04T00:00:00.000,,,representative genome,3036.0,,,Major,,,SAMN10518927,HSC 22,bacteria pure isolate,2018/12/11,Universiti Malaysia Terengganu,448.0x,,Illumina MiSeq,Illumina,,,321269.0,,,HSC 22,,,"Microbe, viral or environmental",Microbe.1.0,Universiti Malaysia Terengganu,,,321269.0,,,,,,,,,latest,RSFU00000000.1,,,False,Marine
GCA_003944795.1,FEB-2018,,,,,,Contig,SPAdes v. FEB-2018,,PRJNA508583,SAMN10525446,,Mangrovimonas sp. HN-E26 from sponge,,,,,Jun-2016,Mangrovimonas sp. HN-E26 from sponge,2018-12-12T00:00:00Z,zlping90@163.com,,9.0,,MCCC:1K03326,,,,,,,,,,,,,,,,,,,,,Lingping,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/795/GCA_003944795.1_FEB-2018,,GCF_003944795.1,RWBG01000000,,Mangrovimonas sp. HN-E26,,Full,WGS,,"China: Yangpu Bay, Hainan","Yangpu Bay, Hainan",China,,,Mycale phyllophila,,,,,,Mycale phyllophila,,,,,,,,,,,Lingping Zhuang,strain=HN-E26,,,,,China,,,Zhuang,19.68,,109.1,,,,,,,,Xiamen Medical College,2494697.0,,Mangrovimonas spongiae,Mangrovimonas spongiae,,,,identical,,,,,,2018-12-06T00:00:00.000,,,representative genome,2490.0,,assembly from type material,Major,,,SAMN10525446,sponge fragment,tissue sample,2018/12/12,Xiamen Medical College,100.0x,,Illumina HiSeq,Illumina,,,2494697.0,,,HN-E26,,,"Microbe, viral or environmental",Microbe.1.0,Xiamen Medical College,,,2494697.0,,,,,,type strain of Mangrovimonas spongiae,,,latest,RWBG00000000.1,,Marine,False,Marine
GCA_003946915.1,ASM394691v1,,,,,,Scaffold,SOAPdenovo v. 2.3,,PRJNA505769,SAMN10434498,,Microbe sample from Flavobacterium sp. T13,,,,,2017-11-01,ANI for a new bacterial species identification,2018-12-14T00:00:00Z,ly81150@163.com,,58.0,,,,,,,,,,,,,,,,,,,,,,,Yang,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/946/915/GCA_003946915.1_ASM394691v1,,GCF_003946915.1,RPOC01000000,,Flavobacterium sp. T13,,Full,WGS,,China: Xinjiang,Xinjiang,China,,,,,,,,,,,,,,,,,,,,,strain=T13,,,,,China,,rhizosphere soil,Liu,,,,,,,,,,,University of Science and Technology Beijing,2488790.0,,Flavobacterium sp. T13,Flavobacterium sp. T13,,,,identical,,,,,,2018-11-16T00:00:00.000,,,,,,,Major,,,SAMN10434498,T13,a pure bacterial culture,2018/12/14,University of Science and Technology Beijing,50.0x,,Illumina,Illumina,,,2488790.0,,,T13,,,"Microbe, viral or environmental",Microbe.1.0,University of Science and Technology Beijing,,,2488790.0,,,,,,,,,latest,RPOC00000000.1,,,False,Non_marine
GCA_003957295.1,ASM395729v1,,,,,,Scaffold,Velvet v. 1.2.03,,PRJNA505890,SAMN10458232,,Microbe sample from Arenibacter aquaticus,,,,,Nov-2017,A novel strain of Arenibacter sp. Bacteria identification,2018-12-19T00:00:00Z,22320142200964@stu.xmu.edu.cn,,24.0,,,,,,,,,,,,,,,,,,,,,,,Jiaying,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/295/GCA_003957295.1_ASM395729v1,,GCF_003957295.1,RQPJ01000000,,Arenibacter sp. GUO666,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=GUO,,,,,China,,surface sea water,Guo,,,,,,,,,,,Institute of Marine Microbes and Ecospheres,2489054.0,,Arenibacter aquaticus,Arenibacter aquaticus,,,,identical,,,,,,2018-12-21T00:00:00.000,,,representative genome,4013.0,,assembly from type material,Major,,,SAMN10458232,GUO from the South China Sea,pure culture,2018/12/19,Institute of Marine Microbes and Ecospheres,12.0x,,Illumina Hiseq4000TM,Illumina,,,2489054.0,,,GUO666,,,"Microbe, viral or environmental",Microbe.1.0,Institute of Marine Microbes and Ecospheres,,,2489054.0,,,,,,type strain of Arenibacter aquaticus,,,latest,RQPJ00000000.1,,,False,Marine
GCA_003963025.1,ASM396302v1,,,,,,Scaffold,IDBA_UD v. 1.0,,PRJNA490743,SAMN10409068,,MIGS Cultured Bacterial/Archaeal sample from Flavobacteriaceae bacterium,,,,,07-Nov-2015,Keywords: GSC:MIxS;MIGS:5.0,2018-12-22T00:00:00Z,rsgkantor@gmail.com,,296.0,,,,,,,,,,,Secondary wastewater,,feed to advanced treatment facility,,,,,1,,derived from metagenome,,,Rose,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/963/025/GCA_003963025.1_ASM396302v1,,,RXJZ01000000,,Flavobacteriaceae bacterium strain AWTP1-28,,Full,WGS,,USA: Texas,Texas,USA,,,,,,,,,,,,,,,,,,,,,,,,AWTP1-28,,United States,,Secondary wastewater,Kantor,31.76,,-106.48,,,,freshwater metagenome,,,,"University of California, Berkeley",1871037.0,This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN10056990,Flavobacteriaceae bacterium,Flavobacteriaceae bacterium,,,,,,,,,,2018-11-10T00:00:00.000,The water microbiome through an advanced treatment facility for direct potable reuse,,,2245.0,,,Major,,,SAMN10409068,WW_2ndary_152_MAG_00003,metagenomic assembly,2018/12/22,"University of California, Berkeley",45.52x,,Illumina HiSeq,Illumina,,,1871037.0,,,AWTP1-28,,,MIGS.ba,MIGS.ba.miscellaneous.5.0,"University of California, Berkeley",,,1871037.0,,,,,,,,,latest,RXJZ00000000.1,,Non_marine,True,Non_marine
GCA_003966335.1,ASM396633v1,,,,,,Complete Genome,HGAP v. OCT-2018,,PRJNA509982,SAMN10591627,,Microbe sample from Nonlabens sp. MJ115,,,,,2018-04-25,Complete genome of Nonlabens sp. MJ115,2018-12-24T00:00:00Z,choihs@mabik.re.kr,,1.0,,,,,,,,,,,,,,,,,,,,,,,Hyun seok,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/966/335/GCA_003966335.1_ASM396633v1,,GCF_003966335.1,CP034549,,Nonlabens sp. MJ115,,Full,Complete,,South Korea: pohang,pohang,South Korea,,,,,,,,,,,,,,,,,,,,,strain=MJ115,,,,,South Korea,,seawater,choi,,,,,,,,,,,National Marine Biodiversity Institute of Korea,2496866.0,,Nonlabens sp. MJ115,Nonlabens sp. MJ115,,,,identical,,,,,,2018-12-14T00:00:00.000,,,,2576.0,,,Major,,,SAMN10591627,MJ115,cell culture,2018/12/24,National Marine Biodiversity Institute of Korea,331.0x,,PacBio RSII,PacBio,,,2496866.0,,,MJ115,,,"Microbe, viral or environmental",Microbe.1.0,National Marine Biodiversity Institute of Korea,,,2496866.0,,,,,,,,,latest,,,,False,Marine
GCA_003968735.1,ASM396873v1,,,,,,Scaffold,SPAdes v. 3.11,,PRJNA510514,SAMN10606627,,Microbe sample from Flavobacterium sp. RSP49,,,,Yu-Hua Xin,Oct-2016,Flavobacterium sp. CGMCC 1.24471,2018-12-24T00:00:00Z,liuqing391@163.com,,71.0,,CGMCC:1.24471,,,,,,,,,,,,,,,,,,,,,Qing,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/968/735/GCA_003968735.1_ASM396873v1,,GCF_003968735.1,RYDN01000000,,Flavobacterium sp. RSP49,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=RSP49,,,,,China,,glacier,Liu,29.2615929,,96.9359436,,,,,,,,"Institute of Microbiology, Chinese Academy of Sciences",2497487.0,,Flavobacterium sp. RSP49,Flavobacterium sp. RSP49,,,,identical,,,,,,2018-12-18T00:00:00.000,,,,2892.0,,,Major,,,SAMN10606627,Flavobacterium sp. CGMCC 1.24471,culture,2018/12/24,"Institute of Microbiology, Chinese Academy of Sciences",250.0x,,Illumina HiSeq,Illumina,,,2497487.0,,,RSP49,,,"Microbe, viral or environmental",Microbe.1.0,"Institute of Microbiology, Chinese Academy of Sciences",,,2497487.0,,,,,,,,,latest,RYDN00000000.1,,Non_marine,False,Non_marine
GCA_003968755.1,ASM396875v1,,,,,,Scaffold,SPAdes v. 3.11,,PRJNA510511,SAMN10606569,,Microbe sample from Flavobacterium sp. RSP15,,,,Yu-Hua Xin,Oct-2016,Flavobacterium sp. CGMCC 1.24446,2018-12-24T00:00:00Z,liuqing391@163.com,,30.0,,CGMCC:1.24446,,,,,,,,,,,,,,,,,,,,,Qing,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/968/755/GCA_003968755.1_ASM396875v1,,GCF_003968755.1,RYDL01000000,,Flavobacterium sp. RSP15,,Full,WGS,,China,,China,,,,,,,,,,,,,,,,,,,,,strain=RSP15,,,,,China,,glacier,Liu,29.2615929,,96.9359436,,,,,,,,"Institute of Microbiology, Chinese Academy of Sciences",2497485.0,,Flavobacterium sp. RSP15,Flavobacterium sp. RSP15,,,,identical,,,,,,2018-12-18T00:00:00.000,,,,2878.0,,,Major,,,SAMN10606569,Flavobacterium sp. CGMCC 1.24446,culture,2018/12/24,"Institute of Microbiology, Chinese Academy of Sciences",250.0x,,Illumina HiSeq,Illumina,,,2497485.0,,,RSP15,,,"Microbe, viral or environmental",Microbe.1.0,"Institute of Microbiology, Chinese Academy of Sciences",,,2497485.0,,,,,,,,,latest,RYDL00000000.1,,Non_marine,False,Non_marine
