assembly_accession,strain,finishing strategy (depth of coverage),biotic_relationship,geo_loc_name,host,collected_by,host_disease,isolation_source,sample_name,isolation-source,sample_type,FDA CVM ID,culture_collection,assembly_method,collection_date,env_feature,synonym,Strain,SUBJECT_ID,Alias,type-material,misc_param,collection date,Isolation Site,Isolation source,country,note,GOLD Stamp ID,investigation_type,culture-collection,lat_lon,alt_elev,locus_tag_prefix,nat-host,assembly_method_version,env_material,model,sample_description,Sample Description,ArrayExpress-STRAIN_OR_LINE,ENA checklist,project_type,estimated_size,Temperature Optimum,isol_growth_condt,Motility,feature,project_name,assembly,num_replicons,isolate,depth,env_biome,altitude,ref_biomaterial,package,geographic location,ArrayExpress-StrainOrLine,ArrayExpress-Phenotype,ArrayExpress-SPECIES,INSDC center alias,geo-loc-name,environment,host_sex,elev,PublicAccession,completeness_estimated,geographic location (country and/or sea),latitude and longitude,specific_host,ArrayExpress-Species,ENA-FIRST-PUBLIC,INSDC center name,specific host,Body Sample Site,pH,biome,biomaterial_provider,isolate_name_alias,contamination_estimated,host scientific name,anonymized_name,ENA-LAST-UPDATE,INSDC first public,Cell Shape,BioSampleModel,environmental_sample,material,identified_by,host health state,INSDC last update,Diseases,strain_name_alias,genome_coverage,INSDC status,host taxid,isolation source,Gram Staining,Temperature Range,Sporulation,sequencing_meth,Historical Monobactam Produced,identification method,supplier_name,SRA accession,host_disease_outcome,Unique Monobactam Clusters Identified,ProjectAccession,Sample Name,Type Strain,Phenotypes,Gene Calling Method,temp,Title,investigation type,Host,rel_to_oxygen,host_age,Species,mapping_method,serovar,sop,Isolation Comments,finishing_strategy,Genus,mapping_method_version,environment (biome),attribute_package,metagenome_source,environment (feature),trophic_level,metagenomic,environment (material),Funding Program,quality_assessment_method,quality_assessment_method_version,geographic location (latitude),source_mat_id,host_tissue_sampled,geographic location (longitude),Host Name,subsrc_note,Host Health,value,plant-associated environmental package,project name,sequencing method,Body Sample SubSite
GCA_000686885.1,DSM 21067,,,,,,,,,,,,,,,,,,,,type strain of Flavobacterium sasangense,,,Wastewater stream polluted with heavy metals,,South Korea,,Gi11502,bacteria_archaea,DSM:21067,35.18 N 129.07 E,,,,,,,,,,,,,30 C,19406812,Motile,,Flavobacterium sasangense DSM 21067,,,,,,,DSM 21067,,,,,,,,Wastewater; Aquatic,,,,,,,,,,,,,7.5-8.0,,,,,,,,,Rod-shaped,,,,,,,,,,,,,Gram-,Mesophile,Nonsporulating,WGS,,,,,,,,,Yes,Gliding; Catalase positive,Prodigal 2.5,,,,,facultative,,,,,,,"Level 1, Standard Draft",,,,,,,,,,DOE-CSP 2012,,,,,,,,,,,,,,
GCA_000687915.1,MAR_2009_132,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,35.18 N 129.07 E,,,,,,,,,,,,,,19406812,,,Leeuwenhoekiella sp. MAR_2009_132,,,,,,,DSM 21067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000687935.1,Hel_I_88,,,,,,,,,,,,,,,,,,,,,,,seawater,,,,Gi0052415,bacteria_archaea,,54.1841 N 7.9 E,0m,,,,,,,,,,,,,,,,Polaribacter sp. Hel_I_88,HGAP v. 2.0.1,,,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS,,,,,,,,,,,Prodigal 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000688315.1,Hel_I_7,,,,,,,,,,,,,,,,,,,,,,,seawater,,,,Gi0052410,bacteria_archaea,,54.1841 N 7.9 E,0m,,,,,,,,,,,,,,,,Maribacter sp. Hel_I _7,HGAP v. 2.0.1,,,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS,,,,,,,,,,,Prodigal 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000688335.1,Hel_I_10,,,,,,,,,,,,,,,,,,,,,,,seawater,,,,Gi0052418,bacteria_archaea,,54.1841 N 7.9 E,0m,,,,,,,,,,,,,,,,Sediminibacter sp. Hel_I_10,HGAP v. 2.0.1,,,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS,,,,,,,,,,,Prodigal 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000733925.1,TG409,,,,,,,,,,,,,,,,,,,,type strain of Arenibacter algicola,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Arenibacter sp. TG409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000733945.1,Hel_I_48,,,,,,,,,,,,,,,,,,,,,,,seawater,,,,Gi0052407,bacteria_archaea,,54.1841 N 7.9 E,0m,,,,,,,,,,,,,,,,Leeuwenhoekiella sp. Hel_I_48,HGAP v. 2.0.1,,,0m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WGS,,,,,,,,,,,Prodigal 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000744105.1,DSM 18668,,,,,,,,,,,,,,,,,,,,type strain of Maribacter forsetii,,,,,,,,bacteria_archaea,DSM:18668,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Maribacter forsetii DSM 18668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000744275.1,Hel_I_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Gillisia sp. Hel_I_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000744495.1,CF299,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Chryseobacterium sp. CF299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000744555.1,MAR_2009_138,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Zobellia uliginosa MAR_2009_138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000744835.1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Flavobacterium sp. 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000745185.1,MAR_2010_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Muricauda sp. MAR_2010_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000745315.1,Hel_I_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Salegentibacter sp. Hel_I_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000745535.1,CF365,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Chryseobacterium sp. CF365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000745775.1,Fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Flavobacterium sp. Fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000745795.1,OV259,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Chryseobacterium sp. OV259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000746315.1,CF284,,,,,,,,,,,,,,,,,,,,,,,,,,,,bacteria_archaea,,54.1841 N 7.9 E,,,,,,,,,,,,,,,,,Chryseobacterium sp. CF284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000769445.1,ATCC 33958,,,USA,,John H. Elder and Stephen Alexander,,contaminated commercial preparation of carboxipeptidase A,,,,,ATCC:33958,,1982,,,,,,,,,,,,,,,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799195.1,YR460,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799235.1,YR459,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799255.1,YR005,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799325.1,YR480,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799335.1,YR485,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799375.1,YR477,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799455.1,YR561,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. YR561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799465.1,Hel_I_66,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Psychroserpens sp. Hel_I_66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799515.1,CF356,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. CF356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799565.1,Hel_I_12,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Cellulophaga sp. Hel_I_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000799645.1,OV705,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. OV705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000800075.1,OV715,,,USA,,,,,,,,,,,1982,,,,,,,,,,,,,,bacteria_archaea,,32.894866 N 117.238959 W,,,,,,,,,,,,,,,,,Chryseobacterium sp. OV715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000834715.1,MEB061,,,"USA, Michigan State University Extension",Arabidopsis thaliana,Brian Traw,,leaf,,,cell culture,,,,2004-05-04,,,,,,,,,,,,,,,,42.0927 N 86.356322 W,,,,,,,,,,,,,,,,,,,,,,plant-associated habitat,,,,,,,,,,,,,,,,,,,,,,,,,Joy Bergelson,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,,,,,,,,,
GCA_000934685.1,Hel_I _90,,,"Germany, Helgoland",,,,,,,,,,,2004-05-04,Sea water,,,,,,,,,,,,,,,54.184 N 7.9 E,,,,,Surface seawater,,,,,,,,,,,,,,,,0 m,Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS/MIMS/MIMARKS.water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_000963865.1,CC-HSB-11,,,"Taiwan, Green Island",,,,a coastal hot spring,,,whole organism,,,,2008,,,,,,type strain of Muricauda lutaonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001051975.1,As1,,,USA,Anopheles gambiae,,,whole mosquito body,,,pure culture,,,,2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001057035.1,490_CAPN,,,"USA, WA",Homo sapiens,UW clinical laboratory,,whole mosquito body,,,,,,,2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001418685.1,R-53146,,,"USA, WA",,,,whole mosquito body,,,whole organism,,,,2013-04-24,,,,,,type strain of Apibacter mensalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_900018365.1,R-53146,,,"USA, WA",,,,whole mosquito body,,,whole organism,,,,2013-04-24,,,,,,type strain of Apibacter mensalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001482795.1,12012-2 PRCM,,,"China, Quanzhou",Homo sapiens,Desong Ming,respiratory infection,sputum,,,,,,,2009,,,,,,,,,,,,,,,,24.9 N 118.6 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,died,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001482835.1,719127,,,"China, Quanzhou",Homo sapiens,Desong Ming,the hyperplasia of prostate and acute urinary retention;urinary tract infections,urine,,,,,,,2013,,,,,,,,,,,,,,,,24.9 N 118.6 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,cured,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001529295.1,TAB 87,,,Antarctica,,,,sea water,,,environmental sample,,,,Jan-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001543325.1,LP1,,,"Norway, Arctic Mid-Ocean Ridge hydrothermal vent field",,,,marine hydrothermal vent biofilm,,,cell culture,,,,04-Aug-2009,marine hydrothermal vent chimney,,,,,type strain of Lutibacter profundi,,,,,,,,,,73.3 N 8 E,,,,,microbial mat material,,,,,,,,,,,,,,1,,2357 meters below sea level,marine hydrothermal vent,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001596175.2,CSID_3015183678,,,"USA, WI",Homo sapiens,,,marine hydrothermal vent biofilm,,,,,,,01-Feb-2016,,,,,,,,,,,,,,,,73.3 N 8 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002023105.1,CSID_3015183678,,,"USA, WI",Homo sapiens,,,marine hydrothermal vent biofilm,,,,,,,01-Feb-2016,,,,,,,,,,,,,,,,73.3 N 8 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001618465.2,CSID_3015183684,,,"USA, WI",Homo sapiens,,,blood,,,,,,,01-Feb-2016,,,,,,,,,,,,,,,,73.3 N 8 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001618505.2,CSID_3000521207,,,"USA, WI",Homo sapiens,,,blood,,,,,,,01-Feb-2016,,,,,,,,,,,,,,,,73.3 N 8 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001618545.2,CSID_3015183681,,,"USA, WI",Homo sapiens,,,blood,,,,,,,01-Feb-2016,,,,,,,,,,,,,,,,73.3 N 8 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001641185.1,C#2,,,"USA, WI",warmwater fish,,,,,,cell culture,,,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001677935.1,MOF25P,,,"United Kingdom, Scotland",rainbow trout,University of Stirling,,,,,pure culture,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University Of stirling,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001677955.1,BGARF1,,,"United Kingdom, Scotland",rainbow trout,,,,,,bacterial pure culture,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001693475.1,CBo1,,,Greece:Crete,Bactrocera oleae,,,,,,cell culture,,,,Dec-2015,,,,,,,,,,,,,,,,35.35 N 24.450000000000045 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001748465.2,C-21,,,Japan,,,,,Arenibacter sp. C-21,,,,,,2004-01-04,,,,,,,,,,,,,,,,35.35 N 24.450000000000045 E,,C21,,,marine sediment (ENVO:00002113),,,,,,,,,17933915,,,Genome sequencing of bacteria contributing to the geochemical cycling of arsenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIGS.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001809725.1, HMSC059D05,,,,,,,,,urine,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001887135.1,FPG87,,,Canada,Oncorhynchus mykiss,,,,,,ulcer,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001887145.1,FPG103,,,Canada,Oncorhynchus mykiss,,,,,,ulcer,,,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001975985.1,ATCC 35103,,,"USA, Rocky Hill",,,,soil,,,Pure culture,,ATCC:35103,,Oct-1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,SQ-28502/503,,,,,MAC-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_001995115.1,CSF-298-10,,,"USA, Snake River Valley",Oncorhynchus mykiss,,,gill,,,cell culture,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002002525.1,61421 PRCM,,,"China, Quanzhou",Homo sapiens,Desong Ming,intracranial infection,gill,,,,,,,2006-05-17,,,,,,,,,,,,,,,,24.54 N 118.37 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogen.cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002017935.1,LM4,,,USA:Chicago,,Kristy Hentchel,,freshwater lake,,,cell culture,,,,30-Oct-2015,,,,,,,,,,,,,,,,41.795262 N 87.576481 W,,,,,,,,,,,,,,,,,,,,,0.5 m,freshwater lake,181 m,,,,,,,,,,,,,,,,,,,,,,,,Crosson Lab,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,65 degrees F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCA_002017945.1,LM5,,,USA:Chicago,,Kristy Hentchel,,freshwater lake,,,cell culture,,,,30-Oct-2015,,,,,,,,,,,,,,,,41.795262 N 87.576481 W,,,,,,,,,,,,,,,,,,,,,0.5 m,freshwater lake,181 m,,,,,,,,,,,,,,,,,,,,,,,,Crosson Lab,,,,,,,,Microbe,,,,,,,,,,,,,,,,,,,,,,,,,,,65 degrees F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
