,Genome,BGC_full,Class,BiG-SCAPE class,Product Prediction,Clan,Family,Pfam_vector,Pfam_vector_length,Pfam_descriptor
4782,GCA_000943565.1,GCA_000943565.1_contig15.region001,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,2853,['PF01648.20 PF00975.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF13621.6 PF00202.21 PF00550.25 PF00698.21 PF16197.5 PF02801.22 PF00109.26 PF00550.25 PF13193.6 PF00501.28 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF01702.18 PF03739.14 PF00892.20 PF03255.14 PF00772.21 PF03796.15 PF01594.16 PF01063.19 PF01894.17 PF08282.12 PF00453.18 PF01632.19 PF00707.22 PF05198.16 PF03129.20 PF00587.25 PF07973.14 PF02824.21'],38,Alginate_lyase;Hepar_II_III;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD-like_3;SusD_RagB;PKD;PKD;PKD;Alginate_lyase2;GntR;FCD;FAD_binding_3;Lyase_aromatic;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;adh_short_C2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;Lip_A_acyltrans;ACP_syn_III_C;BtrH_N;DUF4872;ABC_tran;ABC2_membrane_3;4HBT_2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;Polysacc_deac_1;LolA;OMP_b-brl_2;FabA;Glycos_transf_2;DUF2062;MMPL;MMPL;Acyltransferase;NAD_binding_8;AAT;AMP-binding;AMP-binding_C_2;DeoRC;HTH_DeoR;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD_RagB
1177,GCA_000943565.1,GCA_000943565.1_contig15.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,2853,['PF01648.20 PF00975.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF13621.6 PF00202.21 PF00550.25 PF00698.21 PF16197.5 PF02801.22 PF00109.26 PF00550.25 PF13193.6 PF00501.28 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF01702.18 PF03739.14 PF00892.20 PF03255.14 PF00772.21 PF03796.15 PF01594.16 PF01063.19 PF01894.17 PF08282.12 PF00453.18 PF01632.19 PF00707.22 PF05198.16 PF03129.20 PF00587.25 PF07973.14 PF02824.21'],38,Alginate_lyase;Hepar_II_III;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD-like_3;SusD_RagB;PKD;PKD;PKD;Alginate_lyase2;GntR;FCD;FAD_binding_3;Lyase_aromatic;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;adh_short_C2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;Lip_A_acyltrans;ACP_syn_III_C;BtrH_N;DUF4872;ABC_tran;ABC2_membrane_3;4HBT_2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;Polysacc_deac_1;LolA;OMP_b-brl_2;FabA;Glycos_transf_2;DUF2062;MMPL;MMPL;Acyltransferase;NAD_binding_8;AAT;AMP-binding;AMP-binding_C_2;DeoRC;HTH_DeoR;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD_RagB
70,GCA_000943565.1,GCA_000943565.1_contig15.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,2853,['PF01648.20 PF00975.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF13621.6 PF00202.21 PF00550.25 PF00698.21 PF16197.5 PF02801.22 PF00109.26 PF00550.25 PF13193.6 PF00501.28 PF01202.22 PF00156.27 PF01479.25 PF13568.6 PF01702.18 PF03739.14 PF00892.20 PF03255.14 PF00772.21 PF03796.15 PF01594.16 PF01063.19 PF01894.17 PF08282.12 PF00453.18 PF01632.19 PF00707.22 PF05198.16 PF03129.20 PF00587.25 PF07973.14 PF02824.21'],38,Alginate_lyase;Hepar_II_III;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD-like_3;SusD_RagB;PKD;PKD;PKD;Alginate_lyase2;GntR;FCD;FAD_binding_3;Lyase_aromatic;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;adh_short_C2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;Lip_A_acyltrans;ACP_syn_III_C;BtrH_N;DUF4872;ABC_tran;ABC2_membrane_3;4HBT_2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;Polysacc_deac_1;LolA;OMP_b-brl_2;FabA;Glycos_transf_2;DUF2062;MMPL;MMPL;Acyltransferase;NAD_binding_8;AAT;AMP-binding;AMP-binding_C_2;DeoRC;HTH_DeoR;CarbopepD_reg_2;Plug;TonB_dep_Rec;SusD_RagB
8459,GCA_000973105.1,GCA_000973105.1_contig1.region005,Others,Others,T3PKS.arylpolyene,4095,9698,['PF00436.25 PF00270.29 PF00271.31 PF16124.5 PF09382.10 PF00570.23 PF14493.6 PF14535.6 PF00501.28 PF03417.16 PF13621.6 PF13450.6 PF01553.21 PF03176.15 PF03176.15 PF09835.9 PF00535.26 PF07977.13 PF13568.6 PF03548.15 PF01522.21 PF00109.26 PF02801.22 PF00109.26 PF00550.25 PF02801.22 PF00109.26 PF13279.6 PF12698.7 PF00005.27 PF16169.5 PF14399.6 PF08541.10 PF03279.13 PF00550.25 PF02801.22 PF00109.26 PF13561.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF00221.19 PF01494.19 PF00392.21 PF13377.6 PF13715.6 PF07715.15 PF00593.24 PF14322.6 PF07980.11 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF07593.12 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF07593.12 PF13517.6 PF13517.6 PF13517.6 PF01569.21'],71,ACR_tran;HlyD_D23;OEP;OEP;TetR_N;Sigma70_r4_2;Sigma70_r2;polyprenyl_synt;Lycopene_cycl;Plug;CarbopepD_reg_2;Fe_dep_repress;Fe_dep_repr_C;FeoA;Zip;GAF;HisKA;HATPase_c;Glyco_hydro_63;SnoaL_2;DUF423
4783,GCA_000973105.1,GCA_000973105.1_contig1.region005,PKSother,Others,T3PKS.arylpolyene,1848,2892,['PF00436.25 PF00270.29 PF00271.31 PF16124.5 PF09382.10 PF00570.23 PF14493.6 PF14535.6 PF00501.28 PF03417.16 PF13621.6 PF13450.6 PF01553.21 PF03176.15 PF03176.15 PF09835.9 PF00535.26 PF07977.13 PF13568.6 PF03548.15 PF01522.21 PF00109.26 PF02801.22 PF00109.26 PF00550.25 PF02801.22 PF00109.26 PF13279.6 PF12698.7 PF00005.27 PF16169.5 PF14399.6 PF08541.10 PF03279.13 PF00550.25 PF02801.22 PF00109.26 PF13561.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF14903.6 PF00221.19 PF01494.19 PF00392.21 PF13377.6 PF13715.6 PF07715.15 PF00593.24 PF14322.6 PF07980.11 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF07593.12 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF13517.6 PF07593.12 PF13517.6 PF13517.6 PF13517.6 PF01569.21'],71,ACR_tran;HlyD_D23;OEP;OEP;TetR_N;Sigma70_r4_2;Sigma70_r2;polyprenyl_synt;Lycopene_cycl;Plug;CarbopepD_reg_2;Fe_dep_repress;Fe_dep_repr_C;FeoA;Zip;GAF;HisKA;HATPase_c;Glyco_hydro_63;SnoaL_2;DUF423
73,GCA_001005305.1,GCA_001005305.1_contig34.region001,NRPS,PKS-NRP_Hybrids,T1PKS.transAT-PKS.transAT-PKS-like.PKS-like.NRPS,4935,2902,['PF13412.6 PF01037.21 PF13365.6 PF07992.14 PF02852.22 PF00027.29 PF13545.6 PF00578.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF02784.16 PF00491.21 PF01916.17 PF00293.28 PF00903.25 PF00583.25 PF00795.22'],20,HTH_24;AsnC_trans_reg;Trypsin_2;Pyr_redox_2;Pyr_redox_dim;cNMP_binding;HTH_Crp_2;AhpC-TSA;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1;Orn_Arg_deC_N;Arginase;DS;NUDIX;Glyoxalase;Acetyltransf_1;CN_hydrolase
1178,GCA_001005305.1,GCA_001005305.1_contig34.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.transAT-PKS.transAT-PKS-like.PKS-like.NRPS,10927,2902,['PF13412.6 PF01037.21 PF13365.6 PF07992.14 PF02852.22 PF00027.29 PF13545.6 PF00578.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF02784.16 PF00491.21 PF01916.17 PF00293.28 PF00903.25 PF00583.25 PF00795.22'],20,HTH_24;AsnC_trans_reg;Trypsin_2;Pyr_redox_2;Pyr_redox_dim;cNMP_binding;HTH_Crp_2;AhpC-TSA;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1;Orn_Arg_deC_N;Arginase;DS;NUDIX;Glyoxalase;Acetyltransf_1;CN_hydrolase
4784,GCA_001005305.1,GCA_001005305.1_contig34.region001,PKSother,PKS-NRP_Hybrids,T1PKS.transAT-PKS.transAT-PKS-like.PKS-like.NRPS,1848,2902,['PF13412.6 PF01037.21 PF13365.6 PF07992.14 PF02852.22 PF00027.29 PF13545.6 PF00578.21 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF02784.16 PF00491.21 PF01916.17 PF00293.28 PF00903.25 PF00583.25 PF00795.22'],20,HTH_24;AsnC_trans_reg;Trypsin_2;Pyr_redox_2;Pyr_redox_dim;cNMP_binding;HTH_Crp_2;AhpC-TSA;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1;Orn_Arg_deC_N;Arginase;DS;NUDIX;Glyoxalase;Acetyltransf_1;CN_hydrolase
4785,GCA_001005315.1,GCA_001005315.1_contig156.region001,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,2912,['PF00196.19 PF03640.15 PF03640.15 PF03640.15 PF02824.21 PF07973.14 PF00587.25 PF03129.20 PF00707.22 PF01632.19 PF00453.18 PF05834.12 PF03796.15 PF00772.21 PF03255.14 PF00892.20 PF00892.20 PF03739.14 PF01702.18 PF05016.15 PF00456.21 PF02779.24 PF02780.20 PF13568.6'],24,CoaE;HisKA;HATPase_c;Response_reg;Trans_reg_C;DUF5122;DUF5122;DUF5122;DUF5122;Cupin_5;IPPT;Ion_trans;DUF3857;GIY-YIG;RNase_T;Ala_racemase_N;DUF1015;Peptidase_M23;YcxB;3HCDH;3HCDH_N;GFO_IDH_MocA;PCMT;AMP-binding;AMP-binding_C;PP-binding;Aminotran_1_2;DUF4345;Ribonuc_L-PSP;Transglut_core3;SmpB;His_Phos_1;PNP_UDP_1;DeoC;4HBT_2;TetR_N;Guanylate_cyc;ClpB_D2-small;AAA_2;AAA_lid_9;AAA;Clp_N;Clp_N;DUF2847
1179,GCA_001005315.1,GCA_001005315.1_contig156.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,2912,['PF00196.19 PF03640.15 PF03640.15 PF03640.15 PF02824.21 PF07973.14 PF00587.25 PF03129.20 PF00707.22 PF01632.19 PF00453.18 PF05834.12 PF03796.15 PF00772.21 PF03255.14 PF00892.20 PF00892.20 PF03739.14 PF01702.18 PF05016.15 PF00456.21 PF02779.24 PF02780.20 PF13568.6'],24,CoaE;HisKA;HATPase_c;Response_reg;Trans_reg_C;DUF5122;DUF5122;DUF5122;DUF5122;Cupin_5;IPPT;Ion_trans;DUF3857;GIY-YIG;RNase_T;Ala_racemase_N;DUF1015;Peptidase_M23;YcxB;3HCDH;3HCDH_N;GFO_IDH_MocA;PCMT;AMP-binding;AMP-binding_C;PP-binding;Aminotran_1_2;DUF4345;Ribonuc_L-PSP;Transglut_core3;SmpB;His_Phos_1;PNP_UDP_1;DeoC;4HBT_2;TetR_N;Guanylate_cyc;ClpB_D2-small;AAA_2;AAA_lid_9;AAA;Clp_N;Clp_N;DUF2847
83,GCA_001005315.1,GCA_001005315.1_contig156.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,2912,['PF00196.19 PF03640.15 PF03640.15 PF03640.15 PF02824.21 PF07973.14 PF00587.25 PF03129.20 PF00707.22 PF01632.19 PF00453.18 PF05834.12 PF03796.15 PF00772.21 PF03255.14 PF00892.20 PF00892.20 PF03739.14 PF01702.18 PF05016.15 PF00456.21 PF02779.24 PF02780.20 PF13568.6'],24,CoaE;HisKA;HATPase_c;Response_reg;Trans_reg_C;DUF5122;DUF5122;DUF5122;DUF5122;Cupin_5;IPPT;Ion_trans;DUF3857;GIY-YIG;RNase_T;Ala_racemase_N;DUF1015;Peptidase_M23;YcxB;3HCDH;3HCDH_N;GFO_IDH_MocA;PCMT;AMP-binding;AMP-binding_C;PP-binding;Aminotran_1_2;DUF4345;Ribonuc_L-PSP;Transglut_core3;SmpB;His_Phos_1;PNP_UDP_1;DeoC;4HBT_2;TetR_N;Guanylate_cyc;ClpB_D2-small;AAA_2;AAA_lid_9;AAA;Clp_N;Clp_N;DUF2847
4794,GCA_001020565.1,GCA_001020565.1_contig1.region001,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,2929,['PF03023.14 PF00535.26 PF00534.20 PF13439.6 PF00534.20 PF00733.21 PF13477.6 PF00534.20 PF02397.16 PF13439.6 PF00534.20 PF13480.7 PF07995.11 PF07635.11 PF14200.6 PF02368.18 PF02368.18 PF02368.18 PF13649.6 PF00501.28 PF00550.25 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF00550.25 PF00202.21 PF00668.20 PF00501.28 PF13193.6 PF00550.25 PF00975.20 PF01648.20 PF04488.15 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF14200.6 PF14200.6 PF14200.6 PF07635.11 PF07995.11 PF13454.6 PF07995.11 PF17164.4 PF00691.20 PF00534.20 PF13439.6 PF00144.24 PF00933.21'],52,MurJ;Glycos_transf_2;Glycos_transf_1;Glyco_transf_4;Glycos_transf_1;Asn_synthase;Glyco_trans_4_2;Glycos_transf_1;Bac_transf;Glyco_transf_4;Glycos_transf_1;Acetyltransf_6;GSDH;PSCyt1;RicinB_lectin_2;Big_2;Big_2;Big_2;Methyltransf_25;AMP-binding;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;Acyl_transf_1;PP-binding;Aminotran_3;Condensation;AMP-binding;AMP-binding_C;PP-binding;Thioesterase;ACPS;Gly_transf_sug;PKD;PKD;PKD;PKD;PKD;RicinB_lectin_2;RicinB_lectin_2;RicinB_lectin_2;PSCyt1;GSDH;NAD_binding_9;GSDH;DUF5122;OmpA;Glycos_transf_1;Glyco_transf_4;Beta-lactamase;Glyco_hydro_3
1180,GCA_001020565.1,GCA_001020565.1_contig1.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,2929,['PF03023.14 PF00535.26 PF00534.20 PF13439.6 PF00534.20 PF00733.21 PF13477.6 PF00534.20 PF02397.16 PF13439.6 PF00534.20 PF13480.7 PF07995.11 PF07635.11 PF14200.6 PF02368.18 PF02368.18 PF02368.18 PF13649.6 PF00501.28 PF00550.25 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF00550.25 PF00202.21 PF00668.20 PF00501.28 PF13193.6 PF00550.25 PF00975.20 PF01648.20 PF04488.15 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF14200.6 PF14200.6 PF14200.6 PF07635.11 PF07995.11 PF13454.6 PF07995.11 PF17164.4 PF00691.20 PF00534.20 PF13439.6 PF00144.24 PF00933.21'],52,MurJ;Glycos_transf_2;Glycos_transf_1;Glyco_transf_4;Glycos_transf_1;Asn_synthase;Glyco_trans_4_2;Glycos_transf_1;Bac_transf;Glyco_transf_4;Glycos_transf_1;Acetyltransf_6;GSDH;PSCyt1;RicinB_lectin_2;Big_2;Big_2;Big_2;Methyltransf_25;AMP-binding;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;Acyl_transf_1;PP-binding;Aminotran_3;Condensation;AMP-binding;AMP-binding_C;PP-binding;Thioesterase;ACPS;Gly_transf_sug;PKD;PKD;PKD;PKD;PKD;RicinB_lectin_2;RicinB_lectin_2;RicinB_lectin_2;PSCyt1;GSDH;NAD_binding_9;GSDH;DUF5122;OmpA;Glycos_transf_1;Glyco_transf_4;Beta-lactamase;Glyco_hydro_3
88,GCA_001020565.1,GCA_001020565.1_contig1.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,2929,['PF03023.14 PF00535.26 PF00534.20 PF13439.6 PF00534.20 PF00733.21 PF13477.6 PF00534.20 PF02397.16 PF13439.6 PF00534.20 PF13480.7 PF07995.11 PF07635.11 PF14200.6 PF02368.18 PF02368.18 PF02368.18 PF13649.6 PF00501.28 PF00550.25 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF00550.25 PF00202.21 PF00668.20 PF00501.28 PF13193.6 PF00550.25 PF00975.20 PF01648.20 PF04488.15 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF00801.20 PF14200.6 PF14200.6 PF14200.6 PF07635.11 PF07995.11 PF13454.6 PF07995.11 PF17164.4 PF00691.20 PF00534.20 PF13439.6 PF00144.24 PF00933.21'],52,MurJ;Glycos_transf_2;Glycos_transf_1;Glyco_transf_4;Glycos_transf_1;Asn_synthase;Glyco_trans_4_2;Glycos_transf_1;Bac_transf;Glyco_transf_4;Glycos_transf_1;Acetyltransf_6;GSDH;PSCyt1;RicinB_lectin_2;Big_2;Big_2;Big_2;Methyltransf_25;AMP-binding;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;Acyl_transf_1;PP-binding;Aminotran_3;Condensation;AMP-binding;AMP-binding_C;PP-binding;Thioesterase;ACPS;Gly_transf_sug;PKD;PKD;PKD;PKD;PKD;RicinB_lectin_2;RicinB_lectin_2;RicinB_lectin_2;PSCyt1;GSDH;NAD_binding_9;GSDH;DUF5122;OmpA;Glycos_transf_1;Glyco_transf_4;Beta-lactamase;Glyco_hydro_3
1312,GCA_001027725.1,GCA_001027725.1_contig02.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,8506,['PF02775.21 PF00205.22 PF02776.18 PF01593.24 PF03060.15 PF03060.15 PF00109.26 PF02801.22 PF00698.21 PF00550.25 PF08659.10 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF14765.6 PF01648.20 PF00550.25 PF00561.20 PF00201.18 PF04101.16 PF00668.20 PF00668.20'],23,Transket_pyr;Transketolase_C;S4;Pribosyltran;SKI;TPR_8;TPR_8;Ion_trans_2;IRK_C;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;DNA_photolyase;FAD_binding_7;ABC1;TetR_C_23;Epimerase;DUF1731;YceI;Glyoxalase_2;4HBT
5701,GCA_001027725.1,GCA_001027725.1_contig02.region001,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,8506,['PF02775.21 PF00205.22 PF02776.18 PF01593.24 PF03060.15 PF03060.15 PF00109.26 PF02801.22 PF00698.21 PF00550.25 PF08659.10 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF14765.6 PF01648.20 PF00550.25 PF00561.20 PF00201.18 PF04101.16 PF00668.20 PF00668.20'],23,Transket_pyr;Transketolase_C;S4;Pribosyltran;SKI;TPR_8;TPR_8;Ion_trans_2;IRK_C;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;DNA_photolyase;FAD_binding_7;ABC1;TetR_C_23;Epimerase;DUF1731;YceI;Glyoxalase_2;4HBT
547,GCA_001027725.1,GCA_001027725.1_contig02.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,8506,['PF02775.21 PF00205.22 PF02776.18 PF01593.24 PF03060.15 PF03060.15 PF00109.26 PF02801.22 PF00698.21 PF00550.25 PF08659.10 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF14765.6 PF01648.20 PF00550.25 PF00561.20 PF00201.18 PF04101.16 PF00668.20 PF00668.20'],23,Transket_pyr;Transketolase_C;S4;Pribosyltran;SKI;TPR_8;TPR_8;Ion_trans_2;IRK_C;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;DNA_photolyase;FAD_binding_7;ABC1;TetR_C_23;Epimerase;DUF1731;YceI;Glyoxalase_2;4HBT
4795,GCA_001027725.1,GCA_001027725.1_contig12.region002,PKSother,Others,T3PKS.arylpolyene,1848,2950,['PF02775.21 PF00205.22 PF02776.18 PF01593.24 PF03060.15 PF03060.15 PF00109.26 PF02801.22 PF00698.21 PF00550.25 PF08659.10 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF14765.6 PF01648.20 PF00550.25 PF00561.20 PF00201.18 PF04101.16 PF00668.20 PF00668.20'],23,Transket_pyr;Transketolase_C;S4;Pribosyltran;SKI;TPR_8;TPR_8;Ion_trans_2;IRK_C;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;DNA_photolyase;FAD_binding_7;ABC1;TetR_C_23;Epimerase;DUF1731;YceI;Glyoxalase_2;4HBT
7444,GCA_001027725.1,GCA_001027725.1_contig12.region002,Others,Others,T3PKS.arylpolyene,4095,2950,['PF02775.21 PF00205.22 PF02776.18 PF01593.24 PF03060.15 PF03060.15 PF00109.26 PF02801.22 PF00698.21 PF00550.25 PF08659.10 PF00109.26 PF02801.22 PF16197.5 PF00698.21 PF14765.6 PF01648.20 PF00550.25 PF00561.20 PF00201.18 PF04101.16 PF00668.20 PF00668.20'],23,Transket_pyr;Transketolase_C;S4;Pribosyltran;SKI;TPR_8;TPR_8;Ion_trans_2;IRK_C;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;DNA_photolyase;FAD_binding_7;ABC1;TetR_C_23;Epimerase;DUF1731;YceI;Glyoxalase_2;4HBT
1182,GCA_001045465.1,GCA_001045465.1_contig11.region001,PKS-NRP,PKS-NRP_Hybrids,T1PKS.NRPS,10927,2984,['PF13302.7 PF03167.19 PF04306.13 PF00924.18 PF03740.13 PF00561.20 PF12559.8 PF12559.8 PF12559.8 PF12559.8 PF08443.11 PF01370.21 PF00501.28 PF18376.1 PF09365.10 PF02687.21 PF12704.7 PF00005.27'],18,ABC_tran;DUF4440;LytTR;Response_reg;His_kinase;Acyl_transf_3;PMT_2;Glycos_transf_2;LPG_synthase_TM;LPG_synthase_TM;LytTR;Response_reg;His_kinase;Lumazine_bd_2;DJ-1_PfpI;Lumazine_bd_2;DJ-1_PfpI;A_deaminase;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;CmlA_N;Lactamase_B_2;TubC_N;Condensation;AMP-binding;PP-binding;Condensation;CarbopepD_reg_2;OMP_b-brl_3;UDPGT;Thioesterase;ABC_tran;Condensation;AMP-binding;PP-binding;Condensation;Abhydrolase_1;LANC_like;ACPS;LysM
4800,GCA_001045465.1,GCA_001045465.1_contig11.region001,PKSother,PKS-NRP_Hybrids,T1PKS.NRPS,1848,2984,['PF13302.7 PF03167.19 PF04306.13 PF00924.18 PF03740.13 PF00561.20 PF12559.8 PF12559.8 PF12559.8 PF12559.8 PF08443.11 PF01370.21 PF00501.28 PF18376.1 PF09365.10 PF02687.21 PF12704.7 PF00005.27'],18,ABC_tran;DUF4440;LytTR;Response_reg;His_kinase;Acyl_transf_3;PMT_2;Glycos_transf_2;LPG_synthase_TM;LPG_synthase_TM;LytTR;Response_reg;His_kinase;Lumazine_bd_2;DJ-1_PfpI;Lumazine_bd_2;DJ-1_PfpI;A_deaminase;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;CmlA_N;Lactamase_B_2;TubC_N;Condensation;AMP-binding;PP-binding;Condensation;CarbopepD_reg_2;OMP_b-brl_3;UDPGT;Thioesterase;ABC_tran;Condensation;AMP-binding;PP-binding;Condensation;Abhydrolase_1;LANC_like;ACPS;LysM
98,GCA_001045465.1,GCA_001045465.1_contig11.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,4935,2984,['PF13302.7 PF03167.19 PF04306.13 PF00924.18 PF03740.13 PF00561.20 PF12559.8 PF12559.8 PF12559.8 PF12559.8 PF08443.11 PF01370.21 PF00501.28 PF18376.1 PF09365.10 PF02687.21 PF12704.7 PF00005.27'],18,ABC_tran;DUF4440;LytTR;Response_reg;His_kinase;Acyl_transf_3;PMT_2;Glycos_transf_2;LPG_synthase_TM;LPG_synthase_TM;LytTR;Response_reg;His_kinase;Lumazine_bd_2;DJ-1_PfpI;Lumazine_bd_2;DJ-1_PfpI;A_deaminase;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;Condensation;Condensation;AMP-binding;PP-binding;CmlA_N;Lactamase_B_2;TubC_N;Condensation;AMP-binding;PP-binding;Condensation;CarbopepD_reg_2;OMP_b-brl_3;UDPGT;Thioesterase;ABC_tran;Condensation;AMP-binding;PP-binding;Condensation;Abhydrolase_1;LANC_like;ACPS;LysM
893,GCA_001275605.1,GCA_001275605.1_contig02.region001,NRPS,PKS-NRP_Hybrids,T1PKS.NRPS,10927,9847,['PF01797.16 PF12368.8 PF00581.20 PF17773.1 PF16576.5 PF00873.19 PF02321.18 PF02321.18 PF06491.11 PF12840.7 PF05834.12 PF13098.6 PF00593.24 PF07715.15 PF13715.6 PF07992.14 PF03203.14 PF01475.19 PF01566.18 PF00582.26 PF01325.19 PF02742.15 PF04023.14 PF00378.20'],24,SusD_RagB;SusD-like_3;TonB_dep_Rec;Plug;CarbopepD_reg_2;NUDIX;Peripla_BP_3;GntR;Aldose_epim;GalKase_gal_bdg;GHMP_kinases_N;GHMP_kinases_C;GalP_UDP_transf;GalP_UDP_tr_C;SSF;FAD_binding_3;Lyase_aromatic;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;WG_beta_rep;adh_short_C2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;Lip_A_acyltrans;ACP_syn_III_C;BtrH_N;DUF4872;ABC_tran;ABC2_membrane_3;4HBT_2;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;Polysacc_deac_1;LolA;OMP_b-brl_2;OMP_b-brl;FabA;Glycos_transf_2;DUF2062;MMPL;MMPL;Acyltransferase;NAD_binding_8;AAT;AMP-binding;AMP-binding_C_2;Dus;MatE;MatE;MacB_PCD;RBFA
